ID,Node ID,Name,Full Name,Description,HTML URL,Homepage,Clone URL,Git URL,SSH URL,SVN URL,Mirror URL,Stars,Forks,Watchers,Subscribers,Network Count,Open Issues,Size (KB),Language,Topics,Default Branch,Created At,Updated At,Last Push,Private,Is Fork,Archived,Disabled,Has Issues,Has Projects,Has Wiki,Has Pages,Has Downloads,Has Discussions,License Key,License Name,License SPDX ID,License URL,Visibility,Owner ID,Owner Node ID,Owner Login,Owner Type,Owner Site Admin,Owner URL,Owner Avatar URL,Owner Gravatar ID,Owner Followers URL,Owner Following URL,Owner Gists URL,Owner Starred URL,Owner Subscriptions URL,Owner Organizations URL,Owner Repos URL,Owner Events URL,Owner Received Events URL,API URL,Archive URL,Assignees URL,Blobs URL,Branches URL,Collaborators URL,Comments URL,Commits URL,Compare URL,Contents URL,Contributors URL,Deployments URL,Downloads URL,Events URL,Forks URL,Git Commits URL,Git Refs URL,Git Tags URL,Hooks URL,Issue Comment URL,Issue Events URL,Issues URL,Keys URL,Labels URL,Languages URL,Merges URL,Milestones URL,Notifications URL,Pulls URL,Releases URL,Stargazers URL,Statuses URL,Subscribers URL,Subscription URL,Tags URL,Teams URL,Trees URL,Allow Forking,Is Template,Web Commit Signoff Required,Delete Branch on Merge,Use Squash PR Title as Default,Squash Merge Commit Title,Squash Merge Commit Message,Merge Commit Title,Merge Commit Message,Allow Merge Commit,Allow Squash Merge,Allow Rebase Merge,Allow Auto Merge,Allow Update Branch,Score,Crawled At
,,agents.md,openai/agents.md,"AGENTS.md — a simple, open format for guiding coding agents",https://github.com/openai/agents.md,https://agents.md,,,,,,936,41,0,0,0,0,0,TypeScript,,main,2025-08-19T17:22:54Z,2025-08-20T11:22:05Z,,false,false,false,false,false,false,false,false,false,false,mit,MIT License,MIT,https://api.github.com/licenses/mit,,,,openai,Organization,false,https://github.com/openai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,,,,,false,false,false,false,false,0,
,,rust-cheat,rust-aimbot-cheat/rust-cheat,"Rust Cheat – advanced aimbot, ESP, wallhack, and farming tools for Rust. Gain survival, raiding, and PvP advantages with a secure toolkit",https://github.com/rust-aimbot-cheat/rust-cheat,https://discord.gg/elusiongg,,,,,,321,1,0,0,0,0,0,Python,,main,2025-08-19T09:04:21Z,2025-08-20T11:07:26Z,,false,false,false,false,false,false,false,false,false,false,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,,,,rust-aimbot-cheat,Organization,false,https://github.com/rust-aimbot-cheat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,,,,,false,false,false,false,false,0,
,,r6-cheat-aimbot-esp-wallhack,r6s-cheat/r6-cheat-aimbot-esp-wallhack,"R6 Cheat advanced Rainbow Six Siege cheats with aimbot, ESP, wallhack, and unlock-all features. Enhance accuracy, awareness, and tactics",https://github.com/r6s-cheat/r6-cheat-aimbot-esp-wallhack,https://discord.gg/elusiongg,,,,,,297,0,0,0,0,0,0,Python,,main,2025-08-19T08:37:34Z,2025-08-20T09:10:24Z,,false,false,false,false,false,false,false,false,false,false,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,,,,r6s-cheat,Organization,false,https://github.com/r6s-cheat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,,,,,false,false,false,false,false,0,
,,av,auv-sh/av,"An extremely fast av movie manager, written in Rust.",https://github.com/auv-sh/av,,,,,,,258,23,0,0,0,0,0,Rust,,main,2025-08-19T07:42:20Z,2025-08-20T11:20:36Z,,false,false,false,false,false,false,false,false,false,false,mit,MIT License,MIT,https://api.github.com/licenses/mit,,,,auv-sh,Organization,false,https://github.com/auv-sh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,,,,,false,false,false,false,false,0,
,,rendergit,karpathy/rendergit,Render any git repo into a single static HTML page for humans or LLMs,https://github.com/karpathy/rendergit,,,,,,,230,14,0,0,0,0,0,Python,,main,2025-08-20T03:25:28Z,2025-08-20T11:19:41Z,,false,false,false,false,false,false,false,false,false,false,,,,,,,,karpathy,User,false,https://github.com/karpathy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,,,,,false,false,false,false,false,0,
,,pumpfun-copy-trade-bot,void-faceee/pumpfun-copy-trade-bot,pumpfun-copy-trade-bot : Solana Ultra-Fast New Token Sniper on Raydium and Pump.fun in Rust 🚀,https://github.com/void-faceee/pumpfun-copy-trade-bot,,,,,,,133,93,0,0,0,0,0,Rust,,main,2025-08-19T00:19:46Z,2025-08-20T11:21:01Z,,false,false,false,false,false,false,false,false,false,false,,,,,,,,void-faceee,User,false,https://github.com/void-faceee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,,,,,false,false,false,false,false,0,
,,try,tobi/try,fresh directories for every vibe,https://github.com/tobi/try,,,,,,,131,8,0,0,0,0,0,Ruby,,main,2025-08-19T19:25:23Z,2025-08-20T11:13:36Z,,false,false,false,false,false,false,false,false,false,false,,,,,,,,tobi,User,false,https://github.com/tobi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,,,,,false,false,false,false,false,0,
,,pumpfun-smart-contract,void-faceee/pumpfun-smart-contract,"The Pump.fun Smart Contract forking is an innovative platform designed to allow users to create tokens, markets, and pools on Raydium/Meteora. This comprehensive project offers not only same features of pump.fun but also more for managing token authorities, customizing token properties, white list and handling liquidity pools with advanced function",https://github.com/void-faceee/pumpfun-smart-contract,,,,,,,129,86,0,0,0,0,0,Rust,,main,2025-08-19T00:55:28Z,2025-08-20T11:18:55Z,,false,false,false,false,false,false,false,false,false,false,,,,,,,,void-faceee,User,false,https://github.com/void-faceee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,,,,,false,false,false,false,false,0,
,,casino-smart-contract,void-faceee/casino-smart-contract,"casino-smart-contract : A decentralized smart contract that powers blockchain-based casino games, enabling trustless and transparent gambling. The contract automates game logic, bet handling, payouts, and fund management without the need for a centralized operator.",https://github.com/void-faceee/casino-smart-contract,,,,,,,127,86,0,0,0,0,0,TypeScript,,main,2025-08-19T00:55:32Z,2025-08-20T11:19:00Z,,false,false,false,false,false,false,false,false,false,false,,,,,,,,void-faceee,User,false,https://github.com/void-faceee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,,,,,false,false,false,false,false,0,
,,advanced-crypto-trading-bots,void-faceee/advanced-crypto-trading-bots,"advanced-crypto-trading-bots : A modular, scalable bot service framework for building high-performance trading tools on the Solana and EVM and Avalanche ecosystems. Supports platforms including Raydium, Pump.fun, Meteora, and more—ideal for DeFi developers looking to automate strategies like volume monitoring, sniping, copy trading, wallet tracking",https://github.com/void-faceee/advanced-crypto-trading-bots,,,,,,,118,81,0,0,0,0,0,TypeScript,,main,2025-08-19T00:19:50Z,2025-08-20T11:18:59Z,,false,false,false,false,false,false,false,false,false,false,,,,,,,,void-faceee,User,false,https://github.com/void-faceee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,,,,,false,false,false,false,false,0,
