ID,Node ID,Name,Full Name,Description,HTML URL,Homepage,Clone URL,Git URL,SSH URL,SVN URL,Mirror URL,Stars,Forks,Watchers,Subscribers,Network Count,Open Issues,Size (KB),Language,Topics,Default Branch,Created At,Updated At,Last Push,Private,Is Fork,Archived,Disabled,Has Issues,Has Projects,Has Wiki,Has Pages,Has Downloads,Has Discussions,License Key,License Name,License SPDX ID,License URL,Visibility,Owner ID,Owner Login,Owner Type,Owner Site Admin,Owner URL,Owner Avatar URL,API URL,Contributors URL,Languages URL,Releases URL,Issues URL,Pulls URL,Allow Forking,Is Template,Allow Merge Commit,Allow Squash Merge,Allow Rebase Merge,Allow Auto Merge,Delete Branch on Merge,Score,Crawled At
,,Open-Fiesta,NiladriHazra/Open-Fiesta,I just made an open-source version of Dhruv Rathee's AI startup. Even with more models :),https://github.com/NiladriHazra/Open-Fiesta,https://osfiesta.niladri.tech/,,,,,,254,44,0,0,0,0,0,TypeScript,,main,2025-08-18T14:53:49Z,2025-08-19T22:31:06Z,,false,false,false,false,false,false,false,false,false,false,mit,MIT License,MIT,https://api.github.com/licenses/mit,,,NiladriHazra,User,false,https://github.com/NiladriHazra,,,,,,,,false,false,false,false,false,false,false,0,
,,r6-cheat-aimbot-esp-wallhack,r6s-cheat/r6-cheat-aimbot-esp-wallhack,"R6 Cheat advanced Rainbow Six Siege cheats with aimbot, ESP, wallhack, and unlock-all features. Enhance accuracy, awareness, and tactics",https://github.com/r6s-cheat/r6-cheat-aimbot-esp-wallhack,https://discord.gg/elusiongg,,,,,,202,0,0,0,0,0,0,Python,,main,2025-08-19T08:37:34Z,2025-08-19T23:02:12Z,,false,false,false,false,false,false,false,false,false,false,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,,,r6s-cheat,Organization,false,https://github.com/r6s-cheat,,,,,,,,false,false,false,false,false,false,false,0,
,,rust-cheat,rust-aimbot-cheat/rust-cheat,"Rust Cheat – advanced aimbot, ESP, wallhack, and farming tools for Rust. Gain survival, raiding, and PvP advantages with a secure toolkit",https://github.com/rust-aimbot-cheat/rust-cheat,https://discord.gg/elusiongg,,,,,,153,0,0,0,0,0,0,Python,,main,2025-08-19T09:04:21Z,2025-08-19T22:22:12Z,,false,false,false,false,false,false,false,false,false,false,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,,,rust-aimbot-cheat,Organization,false,https://github.com/rust-aimbot-cheat,,,,,,,,false,false,false,false,false,false,false,0,
,,fenrir,R0rt1z2/fenrir,Bootchain exploit for MediaTek devices,https://github.com/R0rt1z2/fenrir,,,,,,,96,13,0,0,0,0,0,Python,,main,2025-08-18T21:39:45Z,2025-08-19T22:33:25Z,,false,false,false,false,false,false,false,false,false,false,agpl-3.0,GNU Affero General Public License v3.0,AGPL-3.0,https://api.github.com/licenses/agpl-3.0,,,R0rt1z2,User,false,https://github.com/R0rt1z2,,,,,,,,false,false,false,false,false,false,false,0,
,,Flashloan-Arbitrage-Bot,Avarine1nyoTP/Flashloan-Arbitrage-Bot,"Flashloan Arbitrage on Ethereum 5 DeFi Protocols,DYDX,Uniswap,SushiSwap,Curve,Balancer",https://github.com/Avarine1nyoTP/Flashloan-Arbitrage-Bot,,,,,,,92,49,0,0,0,0,0,JavaScript,"blockchain, bot, crypto-bot, cryptocurrency, defi, dex, dydx, eth, ethereum, evm, mempool, mev, solana, solidity, trade-bot, trading, tradingbot, uniswap",main,2025-08-19T18:18:06Z,2025-08-19T23:05:20Z,,false,false,false,false,false,false,false,false,false,false,mit,MIT License,MIT,https://api.github.com/licenses/mit,,,Avarine1nyoTP,User,false,https://github.com/Avarine1nyoTP,,,,,,,,false,false,false,false,false,false,false,0,
,,t3chat-composio,ComposioHQ/t3chat-composio,,https://github.com/ComposioHQ/t3chat-composio,,,,,,,83,22,0,0,0,0,0,TypeScript,,main,2025-08-18T13:49:57Z,2025-08-19T22:58:30Z,,false,false,false,false,false,false,false,false,false,false,,,,,,,ComposioHQ,Organization,false,https://github.com/ComposioHQ,,,,,,,,false,false,false,false,false,false,false,0,
,,ai_interview_prep_notes_mar_2025,asiddhant/ai_interview_prep_notes_mar_2025,"I recently interviewed with some AI labs and these are the notes I took during my study for ML fundamentals and Design. This was in Mar 2025 and given how fast the field of AI moves, some of it may already be outdated. Sharing anyway if it helps someone.",https://github.com/asiddhant/ai_interview_prep_notes_mar_2025,,,,,,,83,8,0,0,0,0,0,,,main,2025-08-18T00:30:16Z,2025-08-19T20:26:12Z,,false,false,false,false,false,false,false,false,false,false,,,,,,,asiddhant,User,false,https://github.com/asiddhant,,,,,,,,false,false,false,false,false,false,false,0,
,,BlockEDRTraffic,0xJs/BlockEDRTraffic,"Two tools written in C that block network traffic for blacklisted EDR processes, using either Windows Defender Firewall (WDF) or Windows Filtering Platform (WFP).",https://github.com/0xJs/BlockEDRTraffic,,,,,,,82,13,0,0,0,0,0,C,,main,2025-08-18T09:28:32Z,2025-08-19T22:45:07Z,,false,false,false,false,false,false,false,false,false,false,,,,,,,0xJs,User,false,https://github.com/0xJs,,,,,,,,false,false,false,false,false,false,false,0,
,,sekaictf-2025,project-sekai-ctf/sekaictf-2025,🎵 Official source code and writeups for SekaiCTF 2025!,https://github.com/project-sekai-ctf/sekaictf-2025,https://ctf.sekai.team,,,,,,71,3,0,0,0,0,0,TypeScript,"0day, binary-exploitation, blockchain, competitive-programming, cryptography, ctf, ctf-challenges, ctf-events, ctf-solutions, ctf-writeups, pwn, reverse-engineering, web-exploitation",main,2025-08-18T05:19:22Z,2025-08-19T20:56:05Z,,false,false,false,false,false,false,false,false,false,false,agpl-3.0,GNU Affero General Public License v3.0,AGPL-3.0,https://api.github.com/licenses/agpl-3.0,,,project-sekai-ctf,Organization,false,https://github.com/project-sekai-ctf,,,,,,,,false,false,false,false,false,false,false,0,
,,ComoRAG,EternityJune25/ComoRAG,"ComoRAG is a Retrieval-Augmented Generation (RAG) system for long documents and multi-document QA, information extraction, and knowledge graph construction. It integrates various LLMs, embedding models, graph-based reasoning, and evaluation tools, suitable for both research and practical applications.",https://github.com/EternityJune25/ComoRAG,,,,,,,60,5,0,0,0,0,0,Python,,main,2025-08-18T09:12:16Z,2025-08-19T19:59:41Z,,false,false,false,false,false,false,false,false,false,false,mit,MIT License,MIT,https://api.github.com/licenses/mit,,,EternityJune25,User,false,https://github.com/EternityJune25,,,,,,,,false,false,false,false,false,false,false,0,
